"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7128","Login Page","chromium","2025-12-24","passed","2025-12-24","","PageObjectModel.spec.js","",""
"","619","Test1","webkit","2025-12-24","passed","2025-12-24","","Practice.spec.js","",""
"","5478","Test2","firefox","2025-12-24","passed","2025-12-24","","Practice.spec.js","",""
"","999","Test2","webkit","2025-12-24","passed","2025-12-24","","Practice.spec.js","",""
"","5533","Test1","firefox","2025-12-24","passed","2025-12-24","","Practice.spec.js","",""
"","633","Test1","chromium","2025-12-24","passed","2025-12-24","","Practice.spec.js","",""
"","2492","Test3","firefox","2025-12-24","passed","2025-12-24","","Practice.spec.js","",""
"","566","Test2","chromium","2025-12-24","passed","2025-12-24","","Practice.spec.js","",""
"","868","Test3","webkit","2025-12-24","passed","2025-12-24","","Practice.spec.js","",""
"","291","Test3","chromium","2025-12-24","passed","2025-12-24","","Practice.spec.js","",""
